filename;final_bounding_area;runtime
MBLA_42.txt;104;44.3223
MBLA_18.txt;143;3394.75
MBLA_8.txt;156;34.8527
MBLA_44.txt;156;3492.1084063000008
MBLA_40.txt;165;3521.321255
MBLA_53.txt;145;3001.32622
MBLA_30.txt;156;3984.3957994
MBLA_6.txt;146;3666.6083203
MBLA_10.txt;145;3458.29259
MBLA_35.txt;172;1025.7637731
MBLA_56.txt;145;2228.96774
MBLA_28.txt;155;2897.66687
MBLA_22.txt;210;3445.357975
MBLA_19.txt;186;4526.61632
MBLA_55.txt;182;3578.2045729999995
MBLA_27.txt;185;5255.01321
MBLA_12.txt;175;2548.952849
MBLA_26.txt;156;1255.53269
MBLA_41.txt;172;2789.0057
MBLA_37.txt;185;3645.66374
MBLA_25.txt;225;4258.51289
MBLA_46.txt;182;4756.15636
MBLA_48.txt;210;3452.2699796
MBLA_58.txt;225;5752.999379
MBLA_54.txt;210;4251.59662
MBLA_3.txt;180;3245.66971
MBLA_13.txt;250;4489.17132
MBLA_2.txt;210;4748.17669
MBLA_38.txt;210;4856.2246
MBLA_59.txt;208;4895.78487
MBLA_29.txt;270;5257.8802
MBLA_7.txt;252;4895.3911
MBLA_24.txt;252;5475.28621
MBLA_45.txt;270;4445.195
MBLA_14.txt;220;3445.6125046
MBLA_9.txt;285;4435.897775
MBLA_0.txt;240;5178.7436
MBLA_47.txt;270;2125.1509
MBLA_52.txt;345;3778.1342
