filename;final_bounding_area;width;runtime;total_blocks;final_num_blocks;num_attempts
MBLA_8.txt;168;14;2.7469160556793213;16;16;1
MBLA_10.txt;165;12;360.29583644866943;19;19;3
MBLA_18.txt;180;14;360.28225946426386;16;16;3
MBLA_45.txt;272;16;362.7929003238678;32;32;1
MBLA_11.txt;360;19;367.2860751152039;42;42;1
MBLA_6.txt;180;12;9.862890958786009;20;20;1
MBLA_44.txt;168;11;44.26282334327698;19;19;1
MBLA_40.txt;182;14;5.338963031768799;19;19;1
MBLA_59.txt;224;16;21.170480966567997;30;30;3
MBLA_47.txt;285;15;69.0053391456604;36;36;3
MBLA_16.txt;418;20;366.93329405784607;53;53;1
MBLA_32.txt;460;23;369.10796427726746;57;57;2
MBLA_46.txt;195;14;101.41183733940123;26;26;2
MBLA_7.txt;270;18;63.71007418632507;32;32;3
MBLA_29.txt;306;18;29.18412494659424;31;31;1
MBLA_24.txt;270;16;87.44341802597046;32;32;1
MBLA_38.txt;221;15;299.7351129055023;29;29;2
MBLA_51.txt;462;22;363.40638065338135;53;52;3
MBLA_15.txt;399;22;361.8244214057922;45;45;3
MBLA_31.txt;420;21;373.7463433742523;47;47;1
MBLA_30.txt;182;15;2.807529926300049;20;20;1
MBLA_37.txt;195;15;10.877845764160156;25;25;1
MBLA_17.txt;575;24;372.20483875274664;65;64;1
MBLA_0.txt;288;15;2.59261417388916;34;34;1
MBLA_57.txt;480;23;362.0831654071808;58;58;2
MBLA_21.txt;462;22;79.35029816627501;55;55;1
MBLA_22.txt;225;15;5.3521950244903564;23;23;2
MBLA_34.txt;378;21;316.872985124588;42;42;2
MBLA_33.txt;342;19;9.848181247711182;36;36;1
MBLA_13.txt;270;17;154.0262587070465;28;28;1
MBLA_36.txt;400;20;141.92071461677548;52;52;1
MBLA_19.txt;196;14;44.384745359420776;23;23;1
MBLA_3.txt;182;14;360.9916024208069;28;28;1
MBLA_20.txt;396;22;74.83377718925477;42;42;3
MBLA_12.txt;195;11;11.87395453453064;25;25;1
MBLA_35.txt;182;11;23.21644306182861;21;21;2
MBLA_54.txt;221;13;365.040070772171;27;27;1
MBLA_42.txt;112;8;2.6327173709869385;10;10;1
MBLA_1.txt;288;16;360.4817414283752;40;40;1
MBLA_14.txt;240;15;16.561456680297848;34;32;1
MBLA_28.txt;168;13;362.8255450725555;20;20;3
MBLA_41.txt;192;15;3.696530818939209;25;25;1
MBLA_56.txt;165;14;361.16457748413086;21;21;2
MBLA_4.txt;525;25;91.00915813446044;62;62;1
MBLA_9.txt;304;15;11.138758897781372;34;34;1
MBLA_55.txt;192;12;6.042986869812013;21;21;1
MBLA_26.txt;168;12;103.02729153633119;25;25;1
MBLA_2.txt;225;15;366.5934920310974;28;28;1
MBLA_49.txt;420;21;18.10224866867065;49;49;1
MBLA_58.txt;234;13;64.92799305915833;26;26;2
MBLA_5.txt;288;18;364.05764389038086;32;32;1
MBLA_39.txt;420;21;36.27307343482971;42;42;1
MBLA_27.txt;208;15;368.64269256591797;25;25;1
MBLA_50.txt;380;20;267.40076279640203;45;45;2
MBLA_52.txt;360;20;50.59783148765564;36;36;2
MBLA_23.txt;360;20;361.9930169582367;41;41;1
MBLA_43.txt;323;17;361.0706381797791;39;39;2
MBLA_53.txt;168;13;83.89867568016051;19;19;1
MBLA_48.txt;240;16;362.90959906578064;27;27;1
MBLA_25.txt;238;15;6.2793731689453125;25;25;3
