filename;final_bounding_area;runtime
MBLA_0.txt;300;0
MBLA_1.txt;294;0
MBLA_2.txt;221;0
MBLA_3.txt;192;0
MBLA_4.txt;525;0
MBLA_5.txt;300;0
MBLA_6.txt;187;0
MBLA_7.txt;270;0
MBLA_8.txt;192;0
MBLA_9.txt;325;0
MBLA_10.txt;160;0
MBLA_11.txt;350;0
MBLA_12.txt;209;0
MBLA_13.txt;280;0
MBLA_14.txt;255;0
MBLA_15.txt;414;0
MBLA_16.txt;414;0
MBLA_17.txt;550;0
MBLA_18.txt;176;0
MBLA_19.txt;209;0
MBLA_20.txt;396;0
MBLA_21.txt;462;0
MBLA_22.txt;238;0
MBLA_23.txt;357;0
MBLA_24.txt;276;0
MBLA_25.txt;255;0
MBLA_26.txt;176;0
MBLA_27.txt;208;0
MBLA_28.txt;165;0
MBLA_29.txt;306;0
MBLA_30.txt;195;0
MBLA_31.txt;418;0
MBLA_32.txt;456;0
MBLA_33.txt;342;0
MBLA_34.txt;378;0
MBLA_35.txt;190;0
MBLA_36.txt;418;0
MBLA_37.txt;204;0
MBLA_38.txt;234;0
MBLA_39.txt;420;0
MBLA_40.txt;195;0
MBLA_41.txt;224;0
MBLA_42.txt;120;0
MBLA_43.txt;322;0
MBLA_44.txt;180;0
MBLA_45.txt;280;0
MBLA_46.txt;200;0
MBLA_47.txt;299;0
MBLA_48.txt;224;0
MBLA_49.txt;420;0
MBLA_50.txt;399;0
MBLA_51.txt;440;0
MBLA_52.txt;368;0
MBLA_53.txt;170;0
MBLA_54.txt;231;0
MBLA_55.txt;204;0
MBLA_56.txt;162;0
MBLA_57.txt;475;0
MBLA_58.txt;242;0
MBLA_59.txt;224;0
